tractFIPS,priority
17031340600,1
17031842500,2
17031351100,3
17031843000,4
17031271300,5
17031400800,6
17031835000,7
17031661000,8
17031260400,9
17031540102,10
17031710700,11
17031260600,12
17031350400,13
17031843400,14
17031680900,15
17031710600,16
17031381500,17
17031252202,18
17031691200,19
17031280400,20
17031842900,21
17031660600,22
17031710500,23
17031491400,24
17031260500,25
17031660700,26
17031251800,27
17031831400,28
17031710800,29
17031560400,30
17031690300,31
17031280900,32
17031660800,33
17031700100,34
17031360200,35
17031260100,36
17031730300,37
17031291200,38
17031710200,39
17031671900,40
17031670500,41
17031292500,42
17031251000,43
17031260800,44
17031280800,45
17031835500,46
17031838700,47
17031710900,48
17031251100,49
17031660301,50
17031710300,51
17031836900,52
17031842400,53
17031670800,54
17031671800,55
17031838600,56
17031440101,57
17031260700,58
17031837400,59
17031650500,60
17031836700,61
17031660900,62
17031271400,63
17031400400,64
17031260200,65
17031290900,66
17031690500,67
17031842100,68
17031711200,69
17031260300,70
17031710400,71
17031490901,72
17031672000,73
17031490600,74
17031252201,75
17031620300,76
17031681000,77
17031834600,78
17031250600,79
17031691100,80
17031671600,81
17031730201,82
17031351400,83
17031271800,84
17031681200,85
17031660302,86
17031835200,87
17031671200,88
17031440800,89
17031351500,90
17031270500,91
17031711000,92
17031681100,93
17031711300,94
17031490800,95
17031500200,96
17031491000,97
17031837000,98
17031560700,99
17031640600,100
17031630900,101
17031843300,102
17031490500,103
17031671500,104
17031252102,105
17031460100,106
17031837100,107
17031650400,108
17031250700,109
17031230500,110
17031834900,111
17031530100,112
17031661100,113
17031842800,114
17031836100,115
17031834000,116
17031530300,117
17031430500,118
17031681300,119
17031650100,120
17031251300,121
17031711400,122
17031681400,123
17031230600,124
17031570300,125
17031711100,126
17031834500,127
17031630800,128
17031251600,129
17031835600,130
17031834800,131
17031251900,132
17031835100,133
17031491300,134
17031700302,135
17031730100,136
17031813801,137
17031841500,138
17031300900,139
17031700402,140
17031510300,141
17031250800,142
17031700401,143
17031630400,144
17031691500,145
17031430300,146
17031700200,147
17031836800,148
17031271200,149
17031191200,150
17031252000,151
17031251500,152
17031530600,153
17031260900,154
17031611500,155
17031250300,156
17031381400,157
17031670700,158
17031250400,159
17031420800,160
17031261000,161
17031837300,162
17031660400,163
17031530400,164
17031252101,165
17031671300,166
17031400500,167
17031610300,168
17031750600,169
17031620400,170
17031570100,171
17031300800,172
17031650301,173
17031610400,174
17031570400,175
17031292200,176
17031540101,177
17031841700,178
17031650200,179
17031292400,180
17031711500,181
17031580501,182
17031250200,183
17031470100,184
17031421200,185
17031700301,186
17031420700,187
17031491200,188
17031670400,189
17031640700,190
17031420600,191
17031251200,192
17031480500,193
17031730700,194
17031630300,195
17031690400,196
17031301200,197
17031611400,198
17031640300,199
17031560300,200
17031834700,201
17031580600,202
17031840800,203
17031640400,204
17031440900,205
17031491100,206
17031611300,207
17031231100,208
17031671400,209
17031660500,210
17031831500,211
17031271500,212
17031680600,213
17031730202,214
17031490700,215
17031580200,216
17031291600,217
17031440700,218
17031490902,219
17031380100,220
17031630500,221
17031843500,222
17031580400,223
17031301600,224
17031431302,225
17031420400,226
17031611600,227
17031301801,228
17031700501,229
17031730600,230
17031420500,231
17031450300,232
17031560800,233
17031580502,234
17031821402,235
17031831300,236
17031691400,237
17031650302,238
17031461000,239
17031710100,240
17031430400,241
17031640100,242
17031440201,243
17031530503,244
17031460301,245
17031510200,246
17031560200,247
17031611700,248
17031833900,249
17031750500,250
17031670600,251
17031580700,252
17031191301,253
17031691000,254
17031430900,255
17031690900,256
17031730500,257
17031570200,258
17031570500,259
17031670200,260
17031460200,261
17031830500,262
17031530200,263
17031191302,264
17031670300,265
17031835800,266
17031251400,267
17031231200,268
17031838100,269
17031431400,270
17031390300,271
17031460302,272
17031843800,273
17031837800,274
17031420200,275
17031301802,276
17031520300,277
17031691300,278
17031671100,279
17031231500,280
17031381800,281
17031300500,282
17031670900,283
17031580100,284
17031580800,285
17031838800,286
17031440300,287
17031750100,288
17031190800,289
17031301701,290
17031834300,291
17031440202,292
17031836000,293
17031310900,294
17031670100,295
17031611200,296
17031580300,297
17031620100,298
17031841800,299
17031300600,300
17031230800,301
17031640500,302
17031838000,303
17031843600,304
17031200401,305
17031530501,306
17031310700,307
17031640800,308
17031836600,309
17031730400,310
17031431301,311
17031190401,312
17031440600,313
17031520200,314
17031190702,315
17031831600,316
17031620200,317
17031836400,318
17031611900,319
17031300700,320
17031834200,321
17031520400,322
17031190402,323
17031190602,324
17031831200,325
17031843100,326
17031561100,327
17031600600,328
17031480200,329
17031841200,330
17031500300,331
17031839600,332
17031480300,333
17031230700,334
17031510100,335
17031834400,336
17031190701,337
17031301702,338
17031700502,339
17031420100,340
17031842600,341
17031836500,342
17031480100,343
17031400300,344
17031251700,345
17031611800,346
17031282700,347
17031340500,348
17031301100,349
17031560100,350
17031680500,351
17031191000,352
17031430600,353
17031190300,354
17031222900,355
17031210400,356
17031520600,357
17031840400,358
17031310600,359
17031590700,360
17031170900,361
17031840300,362
17031180100,363
17031612100,364
17031440102,365
17031301803,366
17031480400,367
17031190200,368
17031841300,369
17031430101,370
17031190900,371
17031200300,372
17031840700,373
17031381900,374
17031500100,375
17031460400,376
17031170100,377
17031430700,378
17031191100,379
17031839200,380
17031600700,381
17031310800,382
17031430200,383
17031612000,384
17031420300,385
17031843200,386
17031200402,387
17031151200,388
17031340300,389
17031151100,390
17031380200,391
17031170800,392
17031740100,393
17031230200,394
17031151002,395
17031230400,396
17031310300,397
17031520500,398
17031600400,399
17031220901,400
17031610800,401
17031520100,402
17031200200,403
17031283800,404
17031840200,405
17031590600,406
17031310500,407
17031839500,408
17031821600,409
17031823304,410
17031831700,411
17031840000,412
17031600900,413
17031150700,414
17031839900,415
17031381200,416
17031390400,417
17031841900,418
17031560900,419
17031080400,420
17031561000,421
17031430800,422
17031190601,423
17031841000,424
17031170400,425
17031530502,426
17031190100,427
17031110200,428
17031839700,429
17031200100,430
17031250500,431
17031841100,432
17031740200,433
17031390100,434
17031171100,435
17031460500,436
17031220702,437
17031843900,438
17031230900,439
17031171000,440
17031150502,441
17031820800,442
17031840100,443
17031431200,444
17031210502,445
17031170300,446
17031222800,447
17031839800,448
17031150800,449
17031831100,450
17031340400,451
17031310200,452
17031161300,453
17031150402,454
17031151001,455
17031550200,456
17031150401,457
17031210501,458
17031170600,459
17031390200,460
17031310400,461
17031740400,462
17031210602,463
17031590500,464
17031283100,465
17031170700,466
17031829100,467
17031842200,468
17031170200,469
17031430102,470
17031220902,471
17031838300,472
17031230300,473
17031550100,474
17031222700,475
17031410500,476
17031161200,477
17031150200,478
17031230100,479
17031838200,480
17031110400,481
17031160800,482
17031150600,483
17031110300,484
17031210601,485
17031740300,486
17031210100,487
17031100600,488
17031150501,489
17031020902,490
17031100500,491
17031242700,492
17031833300,493
17031240800,494
17031241000,495
17031020901,496
17031210800,497
17031020601,498
17031110502,499
17031220701,500
17031221000,501
17031140601,502
17031240700,503
17031040202,504
17031242800,505
17031330200,506
17031221400,507
17031020802,508
17031140200,509
17031842000,510
17031210700,511
17031242500,512
17031750400,513
17031221100,514
17031221300,515
17031020702,516
17031843700,517
17031160501,518
17031242000,519
17031836300,520
17031829700,521
17031140702,522
17031160100,523
17031160502,524
17031243400,525
17031150300,526
17031100700,527
17031020301,528
17031842300,529
17031240900,530
17031830600,531
17031140500,532
17031140301,533
17031832500,534
17031140400,535
17031283200,536
17031140602,537
17031282800,538
17031031200,539
17031836200,540
17031833100,541
17031100100,542
17031830900,543
17031839000,544
17031220602,545
17031110501,546
17031081900,547
17031351000,548
17031760801,549
17031170500,550
17031210900,551
17031222500,552
17031010202,553
17031833000,554
17031140701,555
17031221500,556
17031020801,557
17031100400,558
17031410800,559
17031160400,560
17031031501,561
17031160200,562
17031020500,563
17031030104,564
17031243100,565
17031410100,566
17031070700,567
17031720400,568
17031240600,569
17031390700,570
17031031502,571
17031010702,572
17031160300,573
17031241100,574
17031100200,575
17031243500,576
17031242600,577
17031241600,578
17031020100,579
17031410700,580
17031090100,581
17031832300,582
17031760803,583
17031140100,584
17031831800,585
17031010201,586
17031243300,587
17031222600,588
17031160700,589
17031350100,590
17031320400,591
17031411000,592
17031750300,593
17031100300,594
17031281900,595
17031839100,596
17031832900,597
17031160601,598
17031030601,599
17031241200,600
17031020602,601
17031832400,602
